Variable,Unit,Definition
ad.254,PerMeter,Absorption coefficient of light at 254 nm in a sample of lake water using a laboratory spectrophotometer.
ad.305,PerMeter,Absorption coefficient of light at 305 nm in a sample of lake water using a laboratory spectrophotometer.
ad.320,PerMeter,Absorption coefficient of light at 320 nm in a sample of lake water using a laboratory spectrophotometer.
ad.340,PerMeter,Absorption coefficient of light at 340 nm in a sample of lake water using a laboratory spectrophotometer.
ad.380,PerMeter,Absorption coefficient of light at 380 nm in a sample of lake water using a laboratory spectrophotometer.
ad.440,PerMeter,Absorption coefficient of light at 440 nm in a sample of lake water using a laboratory spectrophotometer.
chl.a,MicrogramsPerLiter,Chlorophyll-a concentration in a sample of lake water measured through extractions in the lab. Depth at which sample for chl-a analysis was collected is defined by DepthUpper and DepthLower.
chl.p,MicrogramsPerLiter,Phaeophytin concentration in a sample of lake water measured through extractions in the lab. Depth at which sample for phaeophytin analysis was collected is defined by DepthUpper and DepthLower.
chl.sum,MicrogramsPerLiter,Total chlorophyll concentration in a sample of lake water measured through extractions in the lab. Depth at which sample for chlorophyll analysis was collected is defined by DepthUpper and DepthLower.
do,MilligramsPerLiter,Dissolved oxygen measured in lake water. Depth at which dissolved oxygen was measured is defined by DepthUpper and DepthLower.
doc,MilligramsPerLiter,Dissolved organic carbon measured in lake water. Depth at which sample for DOC analysis was collected is defined by DepthUpper and DepthLower.
Kd305,PerMeter,Diffuse attenuation coefficient of light at 305 nm measured in situ with a profiling radiometer.
Kd320,PerMeter,Diffuse attenuation coefficient of light at 320 nm measured in situ with a profiling radiometer.
Kd340,PerMeter,Diffuse attenuation coefficient of light at 340 nm measured in situ with a profiling radiometer.
Kd380,PerMeter,Diffuse attenuation coefficient of light at 380 nm measured in situ with a profiling radiometer.
KdPAR,PerMeter,"Diffuse attenuation coefficient of PAR (photosyntheically active radiation, 400-700 nm) measured in situ with a profiling radiometer."
ss.10pc.305,Meters,Depth at which 305 nm radiation is 10 percent of subsurface value.
ss.10pc.320,Meters,Depth at which 320 nm radiation is 10 percent of subsurface value.
ss.10pc.340,Meters,Depth at which 340 nm radiation is 10 percent of subsurface value.
ss.10pc.380,Meters,Depth at which 380 nm radiation is 10 percent of subsurface value.
ss.10pc.par,Meters,"Depth at which PAR (photosyntheically active radiation, 400-700 nm) is 10 percent of subsurface value."
ss.1pc.305,Meters,Depth at which 305 nm radiation is 1 percent of subsurface value.
ss.1pc.320,Meters,Depth at which 320 nm radiation is 1 percent of subsurface value.
ss.1pc.340,Meters,Depth at which 340 nm radiation is 1 percent of subsurface value.
ss.1pc.380,Meters,Depth at which 380 nm radiation is 1 percent of subsurface value.
ss.1pc.par,Meters,"Depth at which PAR (photosyntheically active radiation, 400-700 nm) is 1 percent of subsurface value."
ss275.295,PerNanometer,Spectral slope between 275 and 295 nm meaured in a sample of lake water using a laboratory spectrophotometer.
ss280.320,PerNanometer,Spectral slope between 280 and 320 nm meaured in a sample of lake water using a laboratory spectrophotometer.
ss320.380,PerNanometer,Spectral slope between 320 and 380 nm meaured in a sample of lake water using a laboratory spectrophotometer.
ss320.400,PerNanometer,Spectral slope between 320 and 400 nm meaured in a sample of lake water using a laboratory spectrophotometer.
ss350.400,PerNanometer,Spectral slope between 350 and 400 nm meaured in a sample of lake water using a laboratory spectrophotometer.
temp,DegreesCelsius,"Water or air temperature. Depth at which temperature was measured is defined by DepthUpper and DepthLower. Depth of -1 denotes air temperature, taken above the surface of the lake."
temp0.5m,DegreesCelsius,"Water temperature, measured at 0.5 meters below the surface of the lake."
temp2m,DegreesCelsius,"Water temperature, measured at 2 meters below the surface of the lake."
totalP,MicrogramsPhosphorusPerLiter,Total phosphorus (TP) measured in a sample of lake water. Lake depth or stratum from which water sample was collected is defined by DepthUpper and DepthLower.
